PriceList ID,PriceList Name,Status,Pricing Type,Markup or Markdown,Percentage,Transaction Type,Last Modified Time,Created Time
4198696000000011001,Default_4198696000000000135,Active,Per Item,Markdown,,Sales,2024-04-10 14:23:35,
4198696000000885986,Workshop,InActive,Per Item,Markdown,,Sales,2024-10-23 09:52:35,2023-10-27 11:41:29
4198696000001357045,Descuento para Facebook,InActive,Fixed Percentage,Markdown,5.00,Sales,2024-05-28 13:38:09,2023-11-22 12:34:44
4198696000001900813,Pantera,InActive,Fixed Percentage,Markup,10.00,Sales,2024-01-09 10:18:25,2023-12-16 19:43:46
4198696000005830450,Talleres / Workshops,InActive,Fixed Percentage,Markdown,5.00,Sales,2024-06-06 15:17:41,2024-05-24 15:46:29
4198696000006323681,Wholesale,InActive,Per Item,Markdown,,Sales,2024-10-16 14:04:20,2024-06-06 15:26:00
4198696000010853756,Workshop and B2B,Active,Fixed Percentage,Markdown,8.00,Sales,2024-10-16 14:22:56,2024-10-16 14:10:53
4198696000017003037,Reseller 10% Discount,Active,Fixed Percentage,Markdown,10.00,Sales,2025-01-31 10:31:04,2025-01-31 10:31:04
4198696000017955019,VIP Reseller 20% (Imported Items Only),Active,Fixed Percentage,Markdown,20.00,Sales,2025-02-12 10:26:32,2025-02-12 10:26:32
4198696000018863506,Reseller 15% Discount,Active,Fixed Percentage,Markdown,15.00,Sales,2025-02-28 11:45:07,2025-02-28 11:45:07
4198696000020454010,Initial 5% discount,Active,Fixed Percentage,Markdown,5.00,Sales,2025-03-28 09:22:35,2025-03-28 09:22:35
