s.Product_ID,Sales_SKU,Sales_24M_Qty,Sales_24M_Net
4198696000003790098,,1,12389.38
4198696000011915088,,1,65486.73
4198696000014968004,,2,8672.57
4198696000007203388,,2,31858.41
4198696000021851094,,2,34194.69
4198696000026524051,,1,75221.24
4198696000029893318,,1,33097.35
4198696000033593971,,1,5862
4198696000014895189,,1,17015.93
4198696000009869044,,1,14867.26
4198696000019053111,,2,4601.77
4198696000019769024,,1,5752.21
4198696000029209008,,1,973.44
4198696000030547350,,2,12212.39
4198696000029803457,,1,6725.66
4198696000031846775,,6,21982.32
4198696000011863303,,2,13274.34
4198696000011638838,,4,25840.71
4198696000010664138,,3,929.2
4198696000021533076,,1,1791.15
