Invoice ID,Sales order ID,Last Modified Time
4198696000000633079,4198696000000633047,2023-10-24 16:00:30
4198696000000926029,4198696000000923019,2023-11-17 10:01:53
4198696000001068028,4198696000001068001,2023-11-07 12:43:17
4198696000001068116,4198696000001068089,2023-11-07 13:47:30
4198696000001089447,4198696000001089395,2023-12-06 14:48:18
4198696000001201056,4198696000001201029,2023-12-06 15:33:27
4198696000001201309,4198696000001201277,2023-12-06 15:36:02
4198696000001201532,4198696000001201500,2023-12-06 15:47:08
4198696000001243120,4198696000001243086,2023-11-16 17:48:05
4198696000001262307,4198696000001262275,2023-12-06 15:58:28
4198696000001283028,4198696000001283001,2023-11-17 15:50:14
4198696000001283092,4198696000001283065,2023-12-06 17:51:44
4198696000001311072,4198696000001311045,2023-12-06 15:53:55
4198696000001487126,4198696000001487001,2023-12-06 15:33:32
4198696000001640646,4198696000001640619,2023-12-06 15:15:34
4198696000002319094,4198696000002319062,2024-01-08 12:55:41
4198696000029839104,4198696000029839071,2025-09-18 20:51:57
4198696000033145306,4198696000033145273,2025-10-27 15:25:18
