Sales order ID,Order Date,Sales Order#,Status,Sub Total (BCY),Total (BCY),Discount Amount (BCY),Adjustment (BCY),Created Time,Customer ID,Currency Code,Exchange Rate,Discount (%),Last Modified Time,Expected Shipment Date,CRM Reference ID
4198696000000633047,25 Sep 2023,SO-00001,invoiced,"CRC 2,995.08",CRC 3.38K,CRC 0.00,CRC 0.00,2023-09-25 11:52:53,4198696000000633023,CRC,1.00,0%,2023-10-24 16:00:30,,5826196000000930005
4198696000000923019,30 Oct 2023,SO-00002,invoiced,"CRC 11,804.33",CRC 13.34K,CRC 0.00,CRC 0.00,2023-10-30 15:10:20,4198696000000917003,CRC,1.00,0%,2023-11-17 10:01:53,,5826196000001320005
4198696000001089395,07 Nov 2023,SO-00006,invoiced,"CRC 123,805.31",CRC 139.90K,CRC 0.00,CRC 0.00,2023-11-08 12:33:57,4198696000001067094,CRC,1.00,0%,2023-11-17 13:04:27,,5826196000001482009
4198696000001068089,07 Nov 2023,SO-00005,invoiced,"CRC 8,495.58",CRC 9.60K,CRC 0.00,CRC 0.00,2023-11-07 13:36:33,4198696000001068069,CRC,1.00,0%,2023-11-17 13:04:14,,
4198696000001068001,07 Nov 2023,SO-00004,invoiced,"CRC 9,734.51",CRC 11.00K,CRC 0.00,CRC 0.00,2023-11-07 12:26:50,4198696000000917003,CRC,1.00,0%,2023-11-17 13:04:04,,5826196000001444015
4198696000001201029,14 Nov 2023,SO-00007,invoiced,CRC 115.04,CRC 0.13K,CRC 0.00,CRC 0.00,2023-11-14 17:08:22,4198696000001122115,CRC,1.00,0%,2023-11-21 09:27:17,,5826196000001578012
4198696000001201500,15 Nov 2023,SO-00009,invoiced,"CRC 24,513.28",CRC 27.70K,CRC 0.00,CRC 0.00,2023-11-15 13:25:30,4198696000000917003,CRC,1.00,0%,2023-11-21 09:26:54,,5826196000001587013
4198696000001201277,15 Nov 2023,SO-00008,invoiced,"CRC 27,610.62",CRC 31.20K,CRC 0.00,CRC 0.00,2023-11-15 10:07:44,4198696000001201253,CRC,1.00,0%,2023-11-21 09:27:07,16 Nov 2023,5826196000001582029
4198696000001243086,16 Nov 2023,SO-00010,invoiced,"CRC 21,946.90",CRC 24.80K,CRC 0.00,CRC 0.00,2023-11-16 17:24:09,4198696000001197199,CRC,1.00,0%,2023-11-17 09:58:35,,5826196000001612017
4198696000001283065,17 Nov 2023,SO-00013,invoiced,"CRC 9,292.04",CRC 10.50K,CRC 0.00,CRC 0.00,2023-11-17 15:08:27,4198696000000917003,CRC,1.00,0%,2023-11-17 15:15:05,,5826196000001635030
4198696000001262275,17 Nov 2023,SO-00011,invoiced,"CRC 52,212.39",CRC 59.00K,CRC 0.00,CRC 0.00,2023-11-17 11:07:50,4198696000000917003,CRC,1.00,0%,2023-11-21 09:26:21,,5826196000001637010
4198696000001283001,17 Nov 2023,SO-00012,invoiced,"CRC 9,292.04",CRC 10.50K,CRC 0.00,CRC 0.00,2023-11-17 14:58:38,4198696000000917003,CRC,1.00,0%,2023-11-17 15:50:14,,5826196000001636011
4198696000001311045,20 Nov 2023,SO-00014,invoiced,"CRC 8,141.59",CRC 9.20K,CRC 0.00,CRC 0.00,2023-11-20 13:36:35,4198696000000917003,CRC,1.00,0%,2023-11-22 17:19:30,,5826196000001662019
4198696000001487001,28 Nov 2023,SO-00015,invoiced,"CRC 253,186.72",CRC 286.10K,CRC 0.00,CRC 0.00,2023-11-28 14:34:09,4198696000000917003,CRC,1.00,0%,2023-11-29 10:35:38,29 Nov 2023,5826196000001884015
4198696000001640619,05 Dec 2023,SO-00016,invoiced,"CRC 3,716.81",CRC 4.20K,CRC 0.00,CRC 0.00,2023-12-05 16:50:34,4198696000000917003,CRC,1.00,0%,2023-12-12 14:22:32,,5826196000002110835
4198696000002319062,08 Jan 2024,SO-00017,invoiced,"CRC 58,495.58",CRC 66.10K,CRC 0.00,CRC 0.00,2024-01-08 12:50:31,4198696000002319040,CRC,1.00,0%,2024-01-10 15:02:39,,5826196000003416013
4198696000003952442,15 Mar 2024,SO-00018,draft,"CRC 28,097.34",CRC 31.75K,CRC 0.00,CRC 0.00,2024-03-15 10:32:33,4198696000003952420,CRC,1.00,0%,2024-03-15 10:32:33,,5826196000006672006
4198696000011464056,29 Oct 2024,SO-00019,draft,"CRC 23,451.33",CRC 26.50K,CRC 0.00,CRC 0.00,2024-10-29 17:30:47,4198696000011490339,CRC,1.00,0%,2024-11-26 14:54:00,,5826196000017128207
4198696000012035237,11 Nov 2024,SO-00020,draft,"CRC 83,515.04",CRC 94.37K,CRC 0.00,CRC 0.00,2024-11-11 11:30:54,4198696000004770881,CRC,1.00,0%,2024-11-26 14:54:00,,5826196000018310031
4198696000019137130,06 Mar 2025,SO-00021,draft,"CRC 170,973.44",CRC 193.20K,CRC 0.00,CRC 0.00,2025-03-06 10:14:36,4198696000000917003,CRC,1.00,0%,2025-03-06 10:14:36,,5826196000028331014
4198696000019374003,10 Mar 2025,SO-00022,draft,"CRC 131,079.64",CRC 148.12K,CRC 0.00,CRC 0.00,2025-03-10 10:04:26,4198696000014922046,CRC,1.00,0%,2025-03-10 10:04:26,11 Mar 2025,5826196000028605015
4198696000023984302,02 Jun 2025,SO-00025,draft,"CRC 62,123.89",CRC 70.20K,CRC 0.00,CRC 0.00,2025-06-02 16:52:11,4198696000023984286,CRC,1.00,0%,2025-06-02 16:52:11,,
4198696000029839071,05 Sep 2025,SO-00026,invoiced,"CRC 85,309.73",CRC 96.40K,CRC 0.00,CRC 0.00,2025-09-05 14:05:56,4198696000029839051,CRC,1.00,0%,2025-10-29 13:41:47,,
4198696000031143518,25 Sep 2025,SO-00027,void,"CRC 77,876.10",CRC 88.00K,CRC 0.00,CRC 0.00,2025-09-25 10:13:26,4198696000031143295,CRC,1.00,0%,2025-10-29 13:42:12,,5826196000039845041
4198696000032152413,13 Oct 2025,SO-00028,void,"CRC 69,203.54",CRC 78.20K,CRC 0.00,CRC 0.00,2025-10-13 11:42:38,4198696000032152289,CRC,1.00,0%,2025-10-29 13:42:00,,5826196000040727010
4198696000033145273,27 Oct 2025,SO-00029,invoiced,"CRC 18,407.08",CRC 20.80K,CRC 0.00,CRC 0.00,2025-10-27 15:19:55,4198696000004606875,CRC,1.00,0%,2025-10-29 13:03:50,,5826196000041477101
