,,
Jan,2024,"CRC 8,615.64K"
Jan,2025,"CRC 40,098.41K"
Feb,2024,"CRC 11,847.55K"
Feb,2025,"CRC 34,512.09K"
Mar,2024,"CRC 12,064.47K"
Mar,2025,"CRC 42,013.37K"
Apr,2024,"CRC 14,934.34K"
Apr,2025,"CRC 34,452.35K"
May,2024,"CRC 16,598.90K"
May,2025,"CRC 33,184.57K"
Jun,2024,"CRC 15,513.23K"
Jun,2025,"CRC 35,041.80K"
Jul,2024,"CRC 17,085.70K"
Jul,2025,"CRC 42,089.48K"
Aug,2024,"CRC 18,391.04K"
Aug,2025,"CRC 42,253.98K"
Sep,2024,"CRC 18,983.17K"
Sep,2025,"CRC 44,140.60K"
Oct,2024,"CRC 29,170.87K"
Oct,2025,"CRC 54,420.49K"
Nov,2024,"CRC 32,176.90K"
Nov,2025,"CRC 13,588.90K"
Dec,2024,"CRC 37,318.85K"
