Item Name,Amount,Used in Invoices,Quantity
FUSIBLE DE VIDRIO CILINDRICO 15 AMP .,88.50,1,1.00
TERMINAL DE OJO 5/32  (4002).,88.50,1,1.00
SERVICIO EXPRESS GRATUITO COMPRA MAYOR A 100MIL,0.23,35,201.30
Filtro Aceite/nissan/ Hyundai I-10 GL Manual G4LA PROMO,0.01,7,7.00
PROMOCION KIT DE RANAS DE SEGURIDAD 12X1.5MM TOYOTA/ MAZDA/ ISUZU,0.01,4,4.00
COOLANT ECOFREEZE 5 LITROS,0.00,1,1.00
FILTRO ACEITE ACURA HONDA MAZDA MITSUBISHI PROMOCION,0.00,1,1.00
Filtro Aceite Hyundai Accent 1999-2004 G4EK Promocion,0.00,1,1.00
Filtro Aceite Hyundai Accent Blue 2010-2017 PROMO,0.00,1,1.00
Filtro Aceite Hyundai I-10 GL Manual G4LA PROMO,0.00,3,3.00
Grand Summary:,177.25,55,221.30
